document_number,raw_text_url,president,publication_date,title,topics
 95-15760,https://www.federalregister.gov/documents/full_text/text/1995/06/26/95-15760.txt,identifier; william-j-clinton; name; William J. Clinton,06/26/1995,Commission on United States-Pacific Trade and Investment Policy,""
 95-16320,https://www.federalregister.gov/documents/full_text/text/1995/06/30/95-16320.txt,identifier; william-j-clinton; name; William J. Clinton,06/30/1995,Further Amendment to Executive Order No. 12852,""
 95-17828,https://www.federalregister.gov/documents/full_text/text/1995/07/18/95-17828.txt,identifier; william-j-clinton; name; William J. Clinton,07/18/1995,Foreign Disaster Assistance,""
 95-19174,https://www.federalregister.gov/documents/full_text/text/1995/08/02/95-19174.txt,identifier; william-j-clinton; name; William J. Clinton,08/02/1995,Establishing an Emergency Board To Investigate Disputes Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations,""
 95-19654,https://www.federalregister.gov/documents/full_text/text/1995/08/07/95-19654.txt,identifier; william-j-clinton; name; William J. Clinton,08/07/1995,Access to Classified Information,""
 95-19972,https://www.federalregister.gov/documents/full_text/text/1995/08/10/95-19972.txt,identifier; william-j-clinton; name; William J. Clinton,08/10/1995,Federal Acquisition and Community Right-To-Know,""
 95-23338,https://www.federalregister.gov/documents/full_text/text/1995/09/18/95-23338.txt,identifier; william-j-clinton; name; William J. Clinton,09/18/1995,Further Amendment to Executive Order No. 12864,""
 95-23423,https://www.federalregister.gov/documents/full_text/text/1995/09/19/95-23423.txt,identifier; william-j-clinton; name; William J. Clinton,09/19/1995,Amendment to Executive Order No. 12425,""
 95-23581,https://www.federalregister.gov/documents/full_text/text/1995/09/21/95-23581.txt,identifier; william-j-clinton; name; William J. Clinton,09/21/1995,Amendment to Executive Order No. 12958,""
 95-24649,https://www.federalregister.gov/documents/full_text/text/1995/10/02/95-24649.txt,identifier; william-j-clinton; name; William J. Clinton,10/02/1995,Amendment to Executive Order No. 12901,""
 95-24754,https://www.federalregister.gov/documents/full_text/text/1995/10/03/95-24754.txt,identifier; william-j-clinton; name; William J. Clinton,10/03/1995,Continuance of Certain Federal Advisory Committees,""
 95-24921,https://www.federalregister.gov/documents/full_text/text/1995/10/05/95-24921.txt,identifier; william-j-clinton; name; William J. Clinton,10/05/1995,Protection of Human Research Subjects and Creation of National Bioethics Advisory Commission,""
 95-25256,https://www.federalregister.gov/documents/full_text/text/1995/10/10/95-25256.txt,identifier; william-j-clinton; name; William J. Clinton,10/10/1995,Compensation Practices of Government Corporations,""
 95-26497,https://www.federalregister.gov/documents/full_text/text/1995/10/24/95-26497.txt,identifier; william-j-clinton; name; William J. Clinton,10/24/1995,Interagency Security Committee,""
 95-26569,https://www.federalregister.gov/documents/full_text/text/1995/10/24/95-26569.txt,identifier; william-j-clinton; name; William J. Clinton,10/24/1995,Blocking Assets and Prohibiting Transactions With Significant Narcotics Traffickers,""
 95-26944,https://www.federalregister.gov/documents/full_text/text/1995/10/27/95-26944.txt,identifier; william-j-clinton; name; William J. Clinton,10/27/1995,Agency Procurement Protests,""
